Title: High-resolution mass models of dwarf galaxies from LITTLE THINGS 
Authors: Oh S.-H., Hunter D.A., Brinks E., Elmegreen B.G., Schruba A., 
         Walter F., Rupen M.P., Young L.M., Simpson C.E., Johnson M., 
         Herrmann K.A., Ficut-Vicas D., Cigan P., Heesen V., Ashley T., 
         Zhang H. 
Figure: Density profiles (DM + baryons) of the first nine LITTE THINGS
================================================================================
Byte-by-byte Description of file: dbf2B.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---     Name   Galaxy identifier
  10- 14 A5     ---     Type   Data type (1)
  16- 23 F8.5   [-]     R      Log radius scaled by R0.3
  25- 35 E11.4  [-]     rho    Log density scaled by {rho}0.3
  37- 42 F6.4   [-]   e_rho    Uncertainty in rho
--------------------------------------------------------------------------------
Note (1): 
    Data = The scaled total rotation velocity which is corrected 
           for the asymmetric drift.
   Model = Pseudo-isothermal halo model fit to the total rotation velocity.
--------------------------------------------------------------------------------
IC_1613  Model -0.35019 -4.0845E+00 0.0600 
IC_1613  Model -0.33954 -4.0909E+00 0.0552 
IC_1613  Model -0.33260 -4.0951E+00 0.0559 
IC_1613  Model -0.32575 -4.0995E+00 0.0586 
IC_1613  Model -0.31569 -4.1060E+00 0.0581 
IC_1613  Model -0.30912 -4.1104E+00 0.0555 
IC_1613  Model -0.30264 -4.1148E+00 0.0557 
IC_1613  Model -0.29309 -4.1214E+00 0.0561 
IC_1613  Model -0.28684 -4.1259E+00 0.0519 
IC_1613  Model -0.27764 -4.1326E+00 0.0516 
IC_1613  Model -0.27161 -4.1371E+00 0.0503 
IC_1613  Model -0.26566 -4.1416E+00 0.0488 
IC_1613  Model -0.25687 -4.1485E+00 0.0469 
IC_1613  Model -0.25112 -4.1530E+00 0.0457 
IC_1613  Model -0.24545 -4.1576E+00 0.0465 
IC_1613  Model -0.23707 -4.1645E+00 0.0497 
IC_1613  Model -0.23157 -4.1691E+00 0.0483 
IC_1613  Model -0.22345 -4.1760E+00 0.0444 
IC_1613  Model -0.21812 -4.1806E+00 0.0438 
IC_1613  Model -0.21286 -4.1852E+00 0.0446 
IC_1613  Model -0.20508 -4.1922E+00 0.0436 
IC_1613  Model -0.19997 -4.1968E+00 0.0451 
IC_1613  Model -0.19492 -4.2015E+00 0.0466 
IC_1613  Model -0.18745 -4.2084E+00 0.0496 
IC_1613  Model -0.18255 -4.2131E+00 0.0473 
IC_1613  Model -0.17529 -4.2201E+00 0.0468 
IC_1613  Model -0.17052 -4.2247E+00 0.0464 
IC_1613  Model -0.16580 -4.2294E+00 0.0448 
IC_1613  Model -0.15881 -4.2364E+00 0.0453 
IC_1613  Model -0.15421 -4.2410E+00 0.0448 
IC_1613  Model -0.14967 -4.2456E+00 0.0432 
IC_1613  Model -0.14293 -4.2526E+00 0.0447 
IC_1613  Model -0.13850 -4.2572E+00 0.0449 
IC_1613  Model -0.13194 -4.2642E+00 0.0457 
IC_1613  Model -0.12762 -4.2688E+00 0.0418 
IC_1613  Model -0.12334 -4.2734E+00 0.0444 
IC_1613  Model -0.11700 -4.2804E+00 0.0462 
IC_1613  Model -0.11282 -4.2850E+00 0.0460 
IC_1613  Model -0.10869 -4.2895E+00 0.0475 
IC_1613  Model -0.10255 -4.2964E+00 0.0458 
IC_1613  Model -0.09851 -4.3010E+00 0.0448 
IC_1613  Model -0.09252 -4.3079E+00 0.0464 
IC_1613  Model -0.08858 -4.3124E+00 0.0441 
IC_1613  Model -0.08466 -4.3170E+00 0.0446 
IC_1613  Model -0.07886 -4.3238E+00 0.0478 
IC_1613  Model -0.07503 -4.3284E+00 0.0459 
