galaxy,logMh,env_dense,log_Rext,log_npoints,sigma_D_dex,Inc,mean_log_gbar,T2_scatter_transition,T2_scatter_transition_resid,T3_acf_lag1,T3_acf_lag1_resid,T5_xi_coherence_ratio,T5_xi_coherence_ratio_resid,T4_abs_scatter_raw,T4_abs_scatter_resid
1307/522-021,14.0,dense,1.005890895293313,0.0,0.1,60.0,-9.976831,,,,,,,0.108591,0.14099277644175467
1316/522-023,14.0,dense,0.8290057123890114,0.0,0.1,60.0,-10.500647,,,,,,,0.296181,0.3285827764417547
132-040,11.0,field,1.1000443916064178,0.7781512503836436,0.1,60.0,-10.54005,0.1193932867550031,0.04403134229840902,0.9987854930666966,0.4629238601315294,0.949748858794014,-0.18589327363501484,0.3192025,0.24907242206744665
1350/522-042,14.0,dense,1.0404935155408337,0.0,0.1,60.0,-9.833999,,,,,,,0.106499,0.13890077644175466
1366/522-055,14.0,dense,0.9945023153674203,0.0,0.1,60.0,-9.929093,,,,,,,0.176308,0.20870977644175465
139-034,11.0,field,1.516974179571676,1.2041199826559248,0.1,60.0,-10.842315,0.0319321578711151,-0.039457940055822455,0.7832767752082679,0.055421765429519376,1.0597104749380384,-0.3179032689425374,0.364673625,0.24738317020394834
1404/522-073,14.0,dense,0.7969198275549247,0.0,0.1,60.0,-11.320443,,,,,,,0.081472,0.06411468091415067
1405/522-074,14.0,dense,0.8651892254492465,0.0,0.1,60.0,-10.461988,,,,,,,0.211589,0.24399077644175465
1416/522-081,14.0,dense,0.9830708649771072,0.0,0.1,60.0,-10.024441,,,,,,,0.144017,0.1764187764417547
1437/N753,14.0,dense,0.9446508299992417,0.0,0.1,60.0,-10.205629,,,,,,,0.137206,0.16960777644175468
1456/I178,14.0,dense,0.891773161525357,0.0,0.1,60.0,-10.233164,,,,,,,0.277763,0.31016477644175466
1459/522-096,14.0,dense,0.9710040048322893,0.0,0.1,60.0,-9.999587,,,,,,,0.19741,0.22981177644175466
150-053,11.0,field,1.4099568483428815,1.0791812460476249,0.1,60.0,-10.414897,0.06206388612708572,-0.007246638455777894,0.47645266814554404,-0.1559815561007239,0.8351316846029673,-0.20064738609612642,0.39508775,0.3249576720674467
150046/421-007,14.3,dense,1.0675663091264012,0.0,0.1,60.0,-9.697432,,,,,,,0.126447,0.0038172041631019393
150059/421-011,14.3,dense,0.9807105363703901,0.0,0.1,60.0,-10.138287,,,,,,,0.073749,0.10615077644175466
150063/421-013,14.3,dense,0.9418307254088243,0.0,0.1,60.0,-10.333643,,,,,,,0.062601,0.09500277644175467
