dm_threshold,min_pts,rmin_kpc,tng_gal,sparc_gal,massmatch_pairs,massmatch_mean_abs_dlogM,un_n_tng,un_n_sparc,un_mw_p,un_cliffs_delta,un_median_tng,un_median_sparc,un_median_diff,un_median_ratio,mm_n_tng,mm_n_sparc,mm_mw_p,mm_cliffs_delta,mm_median_tng,mm_median_sparc,mm_median_diff,mm_median_ratio,mm_score
-10.5,10,0.0,10060,69,46,0.0073687998686411795,10060,69,0.7264281410294986,0.02440429884461337,0.05033590774064246,0.047975576708940586,0.0023603310317018775,1.0491985963195731,46,46,0.16334982110801355,0.1691871455576559,0.049597830172074024,0.040943403254265515,0.00865442691780851,1.211375367701191,0.13313020726652372
-10.5,10,0.5,10060,66,46,0.0073687998686411795,10060,66,0.1659252284500502,0.09878607145008744,0.05033590774064246,0.045566611504904465,0.004769296235737998,1.1046664669200752,46,46,0.11380773405353396,0.1918714555765595,0.049597830172074024,0.03665124179540377,0.012946588376670252,1.3532373732093796,0.18109369505842948
-10.5,10,1.0,10060,63,45,0.007529960171334772,10060,63,0.0703437170305252,0.13205528732367688,0.05033590774064246,0.04323176902961988,0.007104138711022584,1.1643268103638147,45,45,0.08274335695592562,0.21283950617283942,0.050163186300415843,0.034063417209649755,0.01609976909076609,1.4726410445457367,0.2303491447643235
-10.5,10,2.0,10028,55,42,0.00647739289380324,10028,55,0.03457404478000971,0.16498168763824927,0.050801393650697815,0.038477867888144245,0.01232352576255357,1.3202756919478555,42,42,0.04093626127473787,0.2596371882086168,0.05070171744849008,0.03349879280096569,0.01720292464752439,1.513538644503884,0.360348330760719
-10.5,15,0.0,4256,38,19,0.0067488743052594655,4256,38,0.05340166991550731,0.18174960427384246,0.07002117100515748,0.04943936596942021,0.02058180503573727,1.416303984328354,19,19,0.03818837815139561,0.3961218836565097,0.0883447160022236,0.04687259878925692,0.04147211721296668,1.8847838243283406,0.5617280785013419
-10.5,15,0.5,4256,36,18,0.007117550765444254,4256,36,0.009604286861975932,0.2502871762740184,0.07002117100515748,0.04844364112120464,0.02157752988395284,1.445415112996285,18,18,0.027886264742467463,0.4320987654320987,0.08685025572698077,0.045566611504904465,0.0412836442220763,1.9060064564518435,0.6717449121824628
-10.5,15,1.0,4251,34,18,0.007117550765444254,4251,34,0.0006698038138448648,0.3382041595749097,0.0700008850045452,0.04575389409790531,0.024246990906639884,1.5299437651089451,18,18,0.03271158352982045,0.4197530864197532,0.08685025572698077,0.04220495170057419,0.044645304026406575,2.0578214694603996,0.6234586009495605
-10.5,15,2.0,1703,28,16,0.003087546411842057,1703,28,1.7996094272132143e-07,0.5742806811509102,0.07873781380121124,0.03814007277649904,0.0405977410247122,2.0644379538186803,16,16,0.0018750851285173028,0.6484375,0.09611185635811723,0.03697317405592034,0.059138682302196884,2.5995024450092425,1.7682754521857378
-10.5,20,0.0,0,22,0,,0,22,,,,0.047894069545606155,,,0,0,,,,,,,
-10.5,20,0.5,0,21,0,,0,21,,,,0.047975576708940586,,,0,0,,,,,,,
