dm_threshold,min_pts,rmin_kpc,tng_gal,sparc_gal,massmatch_pairs,massmatch_mean_abs_dlogM,un_n_tng,un_n_sparc,un_mw_p,un_cliffs_delta,un_median_tng,un_median_sparc,un_median_diff,un_median_ratio,mm_n_tng,mm_n_sparc,mm_mw_p,mm_cliffs_delta,mm_median_tng,mm_median_sparc,mm_median_diff,mm_median_ratio,mm_score,caliper
-10.6,10,0.0,8313,63,37,0.0037361716890161,8313,63,0.391023104306014,0.0626347335116732,0.0553699664844006,0.0468725987892569,0.0084973676951437,1.1812864640458414,37,37,0.010082908120664,0.3484295105916728,0.0590725109525065,0.0351448661684553,0.0239276447840511,1.6808290197880371,0.6956096192474777,0.05
-10.6,10,0.5,8313,60,37,0.0037361716890161,8313,60,0.0618357577740897,0.1397048799069731,0.0553699664844006,0.042760173953261,0.0126097925311396,1.294895725749917,37,37,0.0071047971631951,0.364499634769905,0.0590725109525065,0.0351448661684553,0.0239276447840511,1.6808290197880371,0.7831086266322952,0.05
-10.6,10,1.0,8313,58,36,0.0038367157290601,8313,58,0.0139502068863301,0.187043973502242,0.0553699664844006,0.041800064708422,0.0135699017759786,1.3246382959126013,36,36,0.0034716208614592,0.4012345679012346,0.0594823752836717,0.0333292696741725,0.0261531056094991,1.7846888295234886,0.9868234641134922,0.05
-10.6,10,2.0,8310,50,34,0.0040512786079035,8310,50,0.0177946231086265,0.1940938628158843,0.0555908821286975,0.038969606865643,0.0166212752630545,1.4265189361637742,34,34,0.0026022300878557,0.42560553633218,0.0594823752836717,0.0322239207860857,0.027258454497586,1.845907444923841,1.1000431821300325,0.05
-10.6,15,0.0,2953,34,16,0.0039210611609847,2953,34,0.0226732760086865,0.22698751020896,0.079001728392258,0.0538356131029444,0.0251661152893136,1.4674622213587685,16,16,0.0007431125250616,0.703125,0.0984596755053257,0.042392042674086,0.0560676328312396,2.322598046578998,2.200039747493742,0.05
-10.6,15,0.5,2953,32,15,0.0041749520369215,2953,32,0.0033479199837092,0.3011132746359635,0.079001728392258,0.0484436411212046,0.0305580872710533,1.6307966652340993,15,15,0.0004936885181146,0.7511111111111111,0.0938255009031911,0.0395101429689687,0.0543153579342224,2.374719346798661,2.4835841709818336,0.05
-10.6,15,1.0,2952,30,15,0.0041749520369215,2952,30,0.0002135754663616,0.3923215898825656,0.0789577008300205,0.044052415481432,0.0349052853485884,1.7923580345622798,15,15,0.0004936885181146,0.7511111111111111,0.0938255009031911,0.0395101429689687,0.0543153579342224,2.374719346798661,2.4835841709818336,0.05
-10.6,15,2.0,1323,25,15,0.0042007171973239,1323,25,2.264835452843528e-07,0.6035676492819351,0.0847588505097293,0.0394613458431417,0.0452975046665875,2.1478955848754975,15,15,0.0001356422628156,0.8222222222222222,0.1180120728159391,0.0329341683922816,0.0850779044236575,3.583271677313588,3.1800307562621293,0.05
-10.6,20,0.0,0,20,0,,0,20,,,,0.0460732705842301,,,0,0,,,,,,,,0.05
-10.6,20,0.5,0,19,0,,0,19,,,,0.0452739423792032,,,0,0,,,,,,,,0.05
-10.6,20,1.0,0,19,0,,0,19,,,,0.0428308885836608,,,0,0,,,,,,,,0.05
-10.6,20,2.0,0,15,0,,0,15,,,,0.0394613458431417,,,0,0,,,,,,,,0.05
-10.7,10,0.0,6540,53,27,0.0023338432579531,6540,53,0.635663996919781,0.0377300790491028,0.0605272404144669,0.0612495722854679,-0.0007223318710009,0.988206744242484,27,27,0.0268014813225244,0.3525377229080932,0.0705493088439291,0.0378299983115514,0.0327193105323777,1.864903832744473,0.5541333180473919,0.05
-10.7,10,0.5,6540,50,27,0.0023338432579531,6540,50,0.1200188829953405,0.1274373088685014,0.0605272404144669,0.0477505123352961,0.0127767280791707,1.2675725862259806,27,27,0.0186328127109137,0.3744855967078189,0.0705493088439291,0.0378299983115514,0.0327193105323777,1.864903832744473,0.6477558185323996,0.05
