sparc_name,pgc,method,T,D,eD,fD,Inc,eInc,L36,Reff,Rdisk,MHI,RHI,Vflat,eVflat,Q
UGC06983,37617,known,6,18.0,2.5,4,49.0,1.0,5.298,3.95,3.21,2.967,16.07,109.0,5.8,1
UGC07089,38040,known,8,18.0,2.5,4,80.0,3.0,3.585,3.9,2.26,1.214,9.29,0.0,0.0,2
UGC07125,38195,known,9,19.8,5.9,1,90.0,3.0,2.712,3.92,3.38,4.629,23.04,65.2,2.1,1
UGC07151,38391,known,6,6.87,0.34,2,90.0,3.0,2.284,2.17,1.25,0.616,6.39,73.5,2.8,1
UGC07232,38968,known,10,2.83,0.17,2,59.0,5.0,0.113,0.46,0.29,0.046,1.54,0.0,0.0,2
UGC07261,39058,known,8,13.1,3.93,1,30.0,10.0,1.753,2.66,1.2,1.388,10.1,74.7,3.4,2
UGC07323,39422,known,8,8.0,2.4,1,47.0,3.0,4.109,3.26,2.26,0.722,7.14,0.0,0.0,1
UGC07399,39746,known,8,8.43,2.53,1,55.0,3.0,1.156,1.27,1.64,0.745,7.85,103.0,3.3,1
UGC07524,40457,known,9,4.74,0.24,2,46.0,3.0,2.436,3.61,3.46,1.779,12.11,79.5,3.6,1
UGC07559,40626,known,10,4.97,0.25,2,61.0,3.0,0.109,0.98,0.58,0.169,3.76,0.0,0.0,2
UGC07577,40791,known,10,2.59,0.13,2,63.0,3.0,0.045,0.77,0.9,0.044,2.07,0.0,0.0,2
UGC07603,40951,known,7,4.7,1.41,1,78.0,3.0,0.376,0.85,0.53,0.258,4.37,61.6,2.8,1
UGC07608,40971,known,10,8.21,2.46,1,25.0,10.0,0.264,1.6,1.5,0.535,6.73,0.0,0.0,1
UGC07690,41364,known,10,8.11,2.43,1,41.0,5.0,0.858,0.86,0.57,0.39,5.5,57.4,3.2,2
UGC07866,42309,known,10,4.57,0.23,2,44.0,5.0,0.124,0.95,0.61,0.118,3.3,0.0,0.0,2
UGC08286,44491,known,6,6.5,0.21,2,90.0,3.0,1.255,2.25,1.05,0.642,8.07,82.4,2.3,1
UGC08490,45547,known,9,4.65,0.53,2,50.0,3.0,1.017,1.14,0.67,0.72,7.8,78.6,3.8,1
UGC08550,45942,known,7,6.7,2.0,1,90.0,3.0,0.289,1.01,0.45,0.288,5.59,56.9,1.9,1
UGC08699,46832,known,2,39.3,9.82,1,73.0,9.0,50.302,1.91,3.09,3.738,19.05,182.4,6.9,2
UGC08837,47495,known,10,7.21,0.36,2,80.0,5.0,0.501,2.25,1.72,0.32,4.75,0.0,0.0,2
UGC09037,48458,known,6,83.6,8.4,1,65.0,5.0,68.614,5.69,4.28,19.078,39.72,152.3,9.6,2
UGC09133,48888,known,2,57.1,11.4,1,53.0,6.0,282.926,5.92,6.97,33.428,60.35,226.8,4.2,1
UGC09992,55530,known,10,10.7,3.21,1,30.0,10.0,0.336,1.62,1.04,0.318,5.45,33.6,3.3,2
UGC10310,57373,known,9,15.2,4.6,1,34.0,6.0,1.741,3.12,1.8,1.196,9.58,71.4,3.9,1
UGC11455,63593,known,6,78.6,11.8,1,90.0,1.0,374.322,10.06,5.93,13.335,43.44,269.4,7.4,1
UGC11557,64157,known,8,24.2,6.05,1,30.0,10.0,12.101,4.18,2.75,2.605,16.66,0.0,0.0,2
UGC11820,65521,known,9,18.1,5.43,1,45.0,10.0,0.97,2.74,2.08,1.977,12.99,0.0,0.0,1
UGC11914,67868,known,2,16.9,5.1,1,31.0,5.0,150.028,3.12,2.44,0.888,9.26,288.1,10.5,1
UGC12506,71505,known,6,100.6,10.1,1,86.0,4.0,139.571,12.36,7.38,35.556,59.01,234.0,16.8,2
UGC12632,72370,known,9,9.77,2.93,1,46.0,3.0,1.301,3.94,2.42,1.744,12.6,71.7,2.8,1
UGC12732,73163,known,9,13.2,4.0,1,39.0,6.0,1.667,3.12,1.98,3.66,17.41,0.0,0.0,1
UGCA281,39032,known,11,5.68,0.28,2,67.0,3.0,0.194,1.57,1.72,0.062,1.83,0.0,0.0,3
UGCA442,67908,known,9,4.35,0.22,2,64.0,7.0,0.14,1.71,1.18,0.263,4.37,56.4,2.1,1
UGCA444,68120,known,10,0.98,0.05,2,78.0,4.0,0.012,0.41,0.83,0.067,2.08,37.0,4.8,2
