sparc_galaxy,analog_rank,eagle_galaxy_id,match_distance,eagle_log_Mstar,eagle_log_Rhalf,eagle_Vflat
UGC06930,4,11919693,0.0382,9.679,0.811,118.3
UGC06930,5,11701450,0.0427,9.662,0.806,109.1
UGC06983,1,12437582,0.0056,9.417,0.732,106.6
UGC06983,2,3742506,0.0078,9.415,0.732,81.9
UGC06983,3,13546312,0.0106,9.432,0.729,96.2
UGC06983,4,12540093,0.0143,9.419,0.736,100.9
UGC06983,5,12564159,0.0233,9.442,0.726,93.7
UGC07089,1,3202186,0.0068,9.261,0.579,88.0
UGC07089,2,12219869,0.0097,9.250,0.576,103.7
UGC07089,3,3399534,0.0111,9.248,0.575,83.8
UGC07089,4,3816249,0.0140,9.266,0.576,88.8
UGC07089,5,13538686,0.0180,9.265,0.574,96.1
UGC07323,1,12068704,0.0051,9.308,0.580,102.3
UGC07323,2,12615985,0.0081,9.316,0.576,102.2
UGC07323,3,12893943,0.0084,9.315,0.576,99.6
UGC07323,4,11945974,0.0097,9.305,0.581,90.3
UGC07323,5,12350431,0.0113,9.323,0.581,102.8
UGC07399,1,3927921,0.0048,8.757,0.440,78.9
UGC07399,2,4388387,0.0050,8.757,0.440,77.7
UGC07399,3,5552035,0.0094,8.755,0.437,80.7
UGC07399,4,4014860,0.0135,8.776,0.441,82.8
UGC07399,5,3792276,0.0155,8.775,0.436,77.4
UGC07524,1,3718146,0.0280,9.114,0.768,82.0
UGC07524,2,4676134,0.0299,9.103,0.773,65.8
UGC07524,3,13404597,0.0307,9.099,0.774,80.4
UGC07524,4,12041824,0.0337,9.116,0.770,86.8
UGC07524,5,4273747,0.0433,9.040,0.759,74.2
UGC07603,1,7562584,0.5925,7.726,0.058,49.1
UGC07603,2,63534879,0.6382,7.611,0.019,35.1
UGC07603,3,6911562,0.6714,8.292,0.179,61.0
UGC07603,4,62257344,0.6978,7.542,0.020,41.3
UGC07603,5,1584695,0.6995,7.872,0.153,44.6
UGC08490,1,6911562,0.5314,8.292,0.179,61.0
UGC08490,2,5484223,0.7050,8.112,0.206,52.3
UGC08490,3,6253476,0.7335,8.267,0.262,55.4
UGC08490,4,4684271,0.7374,8.863,0.299,74.9
UGC08490,5,6320727,0.7381,8.206,0.250,55.5
UGC08699,1,8797510,0.0103,10.411,0.716,187.9
UGC08699,2,8689645,0.0111,10.413,0.714,176.5
UGC08699,3,8821464,0.0219,10.404,0.707,174.5
UGC08699,4,10036264,0.0249,10.420,0.721,181.4
UGC08699,5,9179610,0.0263,10.429,0.717,175.0
UGC09037,1,8922757,0.0117,10.538,0.860,184.8
UGC09037,2,14100102,0.0181,10.547,0.851,211.8
UGC09037,3,18403595,0.0182,10.555,0.856,203.7
UGC09037,4,18007672,0.0233,10.549,0.849,195.8
UGC09037,5,8880353,0.0244,10.541,0.864,185.5
UGC09133,1,14254226,0.0284,11.158,1.059,302.9
UGC09133,2,14476588,0.0322,11.120,1.063,328.7
UGC09133,3,17574678,0.0331,11.119,1.074,328.7
UGC09133,4,14593753,0.0345,11.165,1.079,348.9
UGC09133,5,20043745,0.0378,11.133,1.056,360.8
UGC11557,1,10930462,0.0060,9.788,0.664,137.3
UGC11557,2,11084483,0.0076,9.775,0.665,131.6
UGC11557,3,11714618,0.0100,9.786,0.661,126.2
UGC11557,4,11182159,0.0109,9.788,0.667,134.1
UGC11557,5,11682940,0.0221,9.806,0.664,122.2
UGC11820,1,3663558,0.0038,8.689,0.542,83.5
UGC11820,2,13021696,0.0054,8.681,0.542,81.7
UGC11820,3,13455268,0.0078,8.693,0.541,88.2
UGC11820,4,3412738,0.0079,8.694,0.542,78.8
UGC11820,5,3981194,0.0086,8.678,0.541,83.0
