galaxy,galaxy_key,source,n_points,sigma_res,mean_res,median_res,mean_log_gbar,env_dense,logMh
260599,260599,Vogt2004,1,0.0,-0.13713,-0.13713,-11.793072,dense,14.8
260622/M+734081,260622/M+734081,Vogt2004,1,0.0,-0.189611,-0.189611,-9.917417,dense,14.3
260640/224-055,260640/224-055,Vogt2004,1,0.0,-0.117339,-0.117339,-9.711095,dense,14.8
260642,260642,Vogt2004,1,0.0,0.009006,0.009006,-11.479435,dense,14.8
260659/N6184,260659/N6184,Vogt2004,1,0.0,0.083109,0.083109,-10.211906,dense,14.3
260714/224-081,260714/224-081,Vogt2004,1,0.0,0.36507,0.36507,-10.659561,dense,14.8
260927,260927,Vogt2004,1,0.0,-0.075602,-0.075602,-10.035957,dense,14.3
260928,260928,Vogt2004,1,0.0,0.216756,0.216756,-11.014782,dense,14.3
260929,260929,Vogt2004,1,0.0,-0.205611,-0.205611,-10.026181,dense,14.3
260930,260930,Vogt2004,1,0.0,-0.049075,-0.049075,-10.476987,dense,14.8
260934/F2041,260934/F2041,Vogt2004,1,0.0,0.002708,0.002708,-9.964637,dense,14.8
260953,260953,Vogt2004,1,0.0,0.348818,0.348818,-10.699901,dense,14.2
2612/540-065,2612/540-065,Vogt2004,1,0.0,-0.343989,-0.343989,-10.614528,dense,14.8
2617/540-068,2617/540-068,Vogt2004,1,0.0,-0.245944,-0.245944,-10.222172,dense,14.8
2618/540-070,2618/540-070,Vogt2004,1,0.0,-0.074211,-0.074211,-9.94992,dense,14.8
2639/540-083,2639/540-083,Vogt2004,1,0.0,-0.18759,-0.18759,-10.148859,dense,14.8
2640/540-084,2640/540-084,Vogt2004,1,0.0,-0.183142,-0.183142,-10.079048,dense,14.8
2642,2642,Vogt2004,1,0.0,-0.512869,-0.512869,-10.823063,dense,14.8
2655/540-091,2655/540-091,Vogt2004,1,0.0,-0.237243,-0.237243,-10.283162,dense,14.8
2659/540-094,2659/540-094,Vogt2004,1,0.0,-0.206019,-0.206019,-10.000688,dense,14.8
2665/540-100,2665/540-100,Vogt2004,1,0.0,-0.095405,-0.095405,-10.050151,dense,14.8
2696/540-118,2696/540-118,Vogt2004,1,0.0,-0.195591,-0.195591,-10.140102,dense,14.8
2700/540-121,2700/540-121,Vogt2004,1,0.0,-0.091515,-0.091515,-10.017532,dense,14.8
2718,2718,Vogt2004,1,0.0,0.242346,0.242346,-10.955293,dense,14.8
2730/541-005,2730/541-005,Vogt2004,1,0.0,-0.048323,-0.048323,-10.127036,dense,14.8
2736/541-008,2736/541-008,Vogt2004,1,0.0,-0.150416,-0.150416,-9.935505,dense,14.8
2742/541-009,2742/541-009,Vogt2004,1,0.0,-0.532692,-0.532692,-11.212639,dense,14.8
2798/541-022,2798/541-022,Vogt2004,1,0.0,-0.140254,-0.140254,-10.035034,dense,14.8
3083,3083,Catinella2005,8,0.107039,0.286661,0.335927,-10.649557,field,11.0
3236/420-031,3236/420-031,Vogt2004,1,0.0,-0.154138,-0.154138,-10.151969,dense,14.3
3255/421-003,3255/421-003,Vogt2004,1,0.0,0.3819,0.3819,-10.617329,dense,14.3
3269/421-006,3269/421-006,Vogt2004,1,0.0,-0.244666,-0.244666,-10.171954,dense,14.3
3270/421-010,3270/421-010,Vogt2004,1,0.0,-0.131598,-0.131598,-10.161577,dense,14.3
3272,3272,Vogt2004,1,0.0,-0.176461,-0.176461,-9.901078,dense,14.3
3275/M+114017,3275/M+114017,Vogt2004,1,0.0,-0.147906,-0.147906,-9.797886,dense,14.3
3279/421-020,3279/421-020,Vogt2004,1,0.0,-0.104997,-0.104997,-9.710198,dense,14.3
3283,3283,Catinella2005,5,0.176996,0.120627,0.177839,-10.73447,field,11.0
